feature,importance_2022_2023,rank_2022_2023,importance_2024_on,rank_2024_on
op_margin_trend,0.11754511500404377,1,0.1072918370965624,1
operating_margin,0.0376573006418488,2,0.03446275705421081,2
operating_margin_sector_pctile,0.026152954018213957,3,0.027725960010103724,3
revenue_growth_sector_pctile,0.017876152561006643,4,0.014746267475452445,4
revenue_growth,0.010761854168319129,5,0.009532380620974546,5
roe,0.006767461761644056,6,0.008724897012691824,6
cash_to_assets_sector_pctile,0.006033091603633323,7,0.0031501414297915864,11
roe_sector_pctile,0.004822813604927534,8,0.005714760994287438,8
current_ratio_sector_pctile,0.004072602273315895,9,0.003905599445953989,10
current_ratio,0.003433444335533242,10,0.006450350777879111,7
liabilities_to_assets,0.0033352443185355905,11,0.005046424640239478,9
cash_to_assets,0.0032563728340319954,12,0.002994785328341909,12
liabilities_to_assets_sector_pctile,0.0015764134426313637,13,0.0018274164613743204,13
